Resource Name,Domain,Resource/Workshop,Type of Resource,Other language(s),URL,Image,Description,Author/Originator,Curriculum Links,Age Range,Curriculum Support Link?,Workshop Duration
Multiwavelength Universe,Astronomy,Workshop,Workshop,,,Chromoscope_faded_thumbnail.png,What do different astronomical objects look like when seen in different parts of the electromagnetic spectrum? Match them up and explore the differences.,Chris North (Cardiff University),Electromagnetic Spectrum; Digital Literacy,11-14; 14-16; 16-18,,1-2 hours
Scales of the Universe,Astronomy,Workshop,Workshop,,,cmbsim-logo3.png,"Introduces the concept of an infinitely vast Universe and introduces various units used in astronomy that account for the massive scales of the Universe. It also introduces red-shift as well as expansion of space via the Hubble constant with the help of some simple experiments. Finally, it exlpores the Cosmic Microwave Background and its implications for the make up of the Universe.",Chris North; Sarah Eve Roberts (Cardiff University),Numeracy; Cosmic Microwave Background; Red-shift; Digital Literacy,14-16; 16-18,,1-2 hours
Scales of the Universe (Primary),Astronomy,Workshop,Workshop,,,scale-universe_logo.png,"Shows how long it can take to travel in the solar system, the size of the solary sytem and the kind of wondrous objects which can be found in the wider Universe. It introduces the concepts of star clusters, nebulae and galaxies and solidifies this knowledge with a fun game of Messier Bingo.",Chris North; Sarah Eve Roberts (Cardiff University),Numeracy; Astronomy;,9-11; 11-14,,1 hour
Agent Exoplanet,Astronomy,Workshop,Workshop,,,AgentExoplanet_logo.jpg,Find and investigate exoplanets using data from LCO's network of telescopes.,Chris North (Cardiff University); Edward Gomez (LCO),Exoplanets; Orbits; Numeracy; Digital Literacy,14-16; 16-18,,1-2 hours
Gravitational Waves A-level Workshop,Gravitational Waves,Workshop,Workshop,,http://blogs.cardiff.ac.uk/physicsoutreach/workshops/gravitational-waves/,gw_workshop_logo.png,"A workshop exploring gravitational waves and their detection, through both practical and theorectical activities",Chris North (Cardiff University),Waves; Interference; Resonance; Trigonometry; Numeracy; Gravitational Waves; ,16-18,,2-3 hours
Cosmic Infographics,Astronomy,Resource,Web-tool,,http://cosmos-book.github.io/contents,cosmos-book_logo.png,"A series of interactive infographics exploring a wide range of space topics, from interplanetary missions to the planetary atmospheres.",Chris North; Stuart Lowe,Astronomy; Digital Literacy; Topical Science,9-11; 11-14; 14-16; 16-18; >18,,
Cosmos in your Pocket,Astronomy,Resource,Activity booklet (print),"<a href=""http://www.unawe.org/resources/guides/Cosmos_Activity_Pocket_book_Welsh/"">Cymraeg</a>",http://www.unawe.org/resources/guides/EU-UNAWE_cosmos_pocket_activity/,cosmos_pocket_square.jpg,"A little activity book that includes all sorts of creative, artsy activities related to our night sky; design your own constellations, write an ode to your favourite planet or draw a portrait of the Moon. Alternately, just learn some fun facts about the Universe that will impress your friends!","Sarah Eve Roberts (Cardiff University),  Haley Gomez (Cardiff University), Edward Gomez ","Science, Space, English, Literacy",7-9;9-11,,
Telescope in your Pocket,Astronomy,Resource,Activity booklet (print),"<a href=""https://issuu.com/universeintheclassroom/docs/telescope_booklet_cover_cy-full"">Cymraeg</a>",https://issuu.com/universeintheclassroom/docs/telescope_in_your_pocket_final,tiyp_image_square.png,"This activity book includes all range of fun astronomy activities based on the exciting topics of robotic telescopes and exotic astronomical objects. Students are invited to learn how telescopes work, design a comic that takes them on a trip to outer space and play a game of galactic spot-the-difference.","Sarah Eve Roberts (Cardiff University),  Haley Gomez (Cardiff University), Edward Gomez ","Science, Space, English, Literacy, Robotics, Geography",7-9;9-11,,
There's No Such Thing As A Stupid Question comic,Physics,Resource,Comic,,https://lco.global/news/no-such-thing-as-a-stupid-question/,nstasq-scrn.png,"This comic aims to empower kids to see themselves as scientists, and the key to making that happen is to encourage them to ask questions. The idea behind this comic is to show children that questions which seem like they might be 'stupid' can lead to real scientific discoveries, and are not stupid at all!","Sarah Eve Roberts (Cardiff University),  Edward Gomez ","Science, Equality & Diversity, Literacy",7-9;9-11;11-14;14-18,,
Universe in the Classroom Primary Space Workshops,Astronomy,Workshop,Workshop,,http://www.universe.wales/contact/,DSCF4888.jpg,"Free inspirational workshops offered to Welsh primary schools, covering a wide-variety of inspiring space topics, from the Solar System objects such as the Moon, the planets and asteroids, to the distant Universe. Workshops are hosted by knowledgable and enthusiastic undergraduate and postgraduate students from Cardiff University.","Sarah Eve Roberts (Cardiff University),  STARS ","Space, Science, Literacy, Numeracy, Geography, Technology, ICT",7-9;9-11,,1-2 hours
Hubble's Expansion of the Universe,Astronomy,Resource,Computer-based activity,,http://resources.faulkes-telescope.com/course/view.php?id=143,Gaia_Sticker_Fairing_wo_frame_500px.jpg,This activity involves using observations of Type Ia supernovae to calculate how quickly the Universe is expanding and how old it is using Hubble's Law. Students are able to analyse pre-packaged data sets of can even open their own telescope account with us to perform their own observations. ,Sophie Bartlett (Cardiff University/Faulkes Telescope Project),"Space, Physics, Redshift, Universe Expansion, IT, Numeracy, Graph Plotting",14-16; 16-18,,1-2 hours
Hands On Universe,Astronomy,Resource,Activity booklet (print),,http://www.stfc.ac.uk/files/educational-publications/hands-on-universe/,hands-on-universe-small.png,"An activity booklet freely available for schools, produced by STFC in collaboration with many others. To order free booklets visit <a href=""http://www.stfc.ac.uk/news-events-and-publications/publications/stfc-publications-order-form/#educational"">the STFC Public Engagement Publications</a> page.","STFC, Royal Observatory Greenwich, National Space Cetnre + others","Space, Science",7-9;9-11,,
Universe in the Classroom Activities,Astronomy,Resource,Activity guide,,http://www.universe.wales/activities/,uni_classroom-colorCMYK_logo.png,"To help you inspire and educate young students with the wonders of the cosmos, Universe in the classroom offers a series of educational activities. The teacher guides include a step-by-step walk through and all necessary scientific information so that you can implement the activities without carrying out any background research.","Sarah Eve Roberts (Cardiff University),  STARS ","Space, Science, Literacy, Numeracy, Geography, Technology, ICT",7-9;9-11,,1-2 hours
Universe in the Classroom Welsh Activities,Astronomy,Resource,Activity guide,"<a href=""http://www.universe.wales/welsh-activities/"">welsh</a>",http://www.universe.wales/welsh-activities/,uni_classroomWELSH-01.png ,"To help you inspire and educate young students with the wonders of the cosmos, Universe in the classroom offers a series of welsh language educational activities. The teacher guides include a step-by-step walk through and all necessary scientific information so that you can implement the activities without carrying out any background research.","Sarah Eve Roberts (Cardiff University),  STARS ","Space, Science, Literacy, Numeracy, Geography, Technology, ICT",7-9;9-11,,1-2 hours
Statistics of Galaxies (KS3),Astronomy & Maths,Resources ,Printable Activities,,,,"A collection of resources to help students improve their skills in certain statistics topics via application, as well as hoping to inspire an interest in astronomy in the process. Students classify galaxies according to their shape and then to investigate certain statistical properties, to draw conclusions about the nature of galaxies, as well as the relationship between sample size and the accuracy of results",Victoria Ayley (Cardiff University),"Maths, Statistics, Astronomy, Galaxies.",11-14,,40mins-1.5 hours (lesson lenght dependent)
Statistics of Galaxies (KS4),Astronomy & Maths,Resources ,Printable Activities,,,,"A collection of resources to help students improve their skills in certain statistics topics via application, as well as hoping to inspire an interest in astronomy in the process. Students classify galaxies according to their shape and colour and then to investigate certain statistical properties, to draw conclusions about the nature of galaxies, as well as the relationship between sample size and the accuracy of results",Victoria Ayley (Cardiff University),"Maths, Statistics, Astronomy, Galaxies.",14-16,,40mins-1.5 hours (lesson lenght dependent)
Hubble's Law (A-Level),Astronomy & Physics,Resources ,Printable Activities,,,,"A collection of resources to help students improve their lab skills (particular graphical analysis) via application, as well as hoping to inspire an interest in astronomy in the process. Students investigate Hubble's Law using Type Ia supernovae data, to draw conclusions about the expanding Universe, as well as the inaccuracy of Hubble's Law and the relationship between sample size and the accuracy of results.",Victoria Ayley (Cardiff University),"Physics, Lab, Astronomy, Cosmology, Supernovae, Graphical Analysis",16-18,,40mins-1.5 hours (lesson lenght dependent)
Satellite Builder,Astronomy,Resources,Online activity,,https://chrisnorth.github.io/classroom-rocket-scientist/,satellite-screenshot.png,"The UK Space Agency is planning its next satellite mission. They've asked you to help design it! Your role is to design and launch a satellite that can perform a specific role related to communications, navigation or earth observation. You’ll need to select the size of your satellite along with its instruments and power supply. Once it’s completed, you’ll need to design a rocket capable of launching your satellite into orbit - will you succeed?",Cardiff University; Stuart Lowe,Astronomy; Space; Digital Literacy,7-9; 9-11; 11-14,,30mins
